end;AccountsPayableAndAccruedLiabilitiesCurrent;AccruedIncomeTaxesCurrent;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AllowanceForDoubtfulAccountsReceivableCurrent;AmortizationOfIntangibleAssets;Assets;AssetsCurrent;Cash;CashAndCashEquivalentsAtCarryingValue;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;CostOfGoodsAndServicesSold;CurrentFederalTaxExpenseBenefit;CurrentForeignTaxExpenseBenefit;CurrentIncomeTaxExpenseBenefit;CurrentStateAndLocalTaxExpenseBenefit;DebtInstrumentCarryingAmount;DebtInstrumentFairValue;DeferredFederalIncomeTaxExpenseBenefit;DeferredForeignIncomeTaxExpenseBenefit;DeferredIncomeTaxExpenseBenefit;DeferredRevenue;DeferredStateAndLocalIncomeTaxExpenseBenefit;DeferredTaxAssetsNet;DeferredTaxAssetsNetCurrent;DeferredTaxAssetsOperatingLossCarryforwardsDomestic;DeferredTaxAssetsOther;DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits;DeferredTaxLiabilitiesNoncurrent;Depreciation;DepreciationDepletionAndAmortization;DerivativeFairValueOfDerivativeAsset;DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet;DividendsCash;DividendsPayableCurrent;FiniteLivedIntangibleAssetsAccumulatedAmortization;FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths;FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear;FiniteLivedIntangibleAssetsAmortizationExpenseYearFive;FiniteLivedIntangibleAssetsAmortizationExpenseYearFour;FiniteLivedIntangibleAssetsAmortizationExpenseYearThree;FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo;FiniteLivedIntangibleAssetsGross;FiniteLivedIntangibleAssetsNet;ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months;GeneralAndAdministrativeExpense;Goodwill;HeldToMaturitySecuritiesNoncurrent;IncomeLossFromContinuingOperations;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments;IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest;IncomeLossFromDiscontinuedOperationsNetOfTax;IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions;IncomeTaxExpenseBenefit;IncreaseDecreaseInAccountsPayableAndAccruedLiabilities;IncreaseDecreaseInAccruedIncomeTaxesPayable;IncreaseDecreaseInInventories;IncreaseDecreaseInOtherCurrentAssets;IncreaseDecreaseInOtherNoncurrentAssets;IncreaseDecreaseInOtherOperatingCapitalNet;IncreaseDecreaseInOtherOperatingLiabilities;IncreaseDecreaseInReceivables;IntangibleAssetsNetExcludingGoodwill;InterestExpense;InventoryFinishedGoods;InventoryNet;InventoryRawMaterialsAndSupplies;InventoryWorkInProcess;InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures;Liabilities;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LineOfCreditFacilityMaximumBorrowingCapacity;LineOfCreditFacilityRemainingBorrowingCapacity;LongTermDebtCurrent;LongTermDebtNoncurrent;MarketableSecuritiesCurrent;MinorityInterest;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetIncomeLossAvailableToCommonStockholdersBasic;NetIncomeLossAvailableToCommonStockholdersDiluted;OperatingIncomeLoss;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax;OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax;OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax;OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansPlanAmendmentsTaxEffect;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax;OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax;OtherLiabilitiesNoncurrent;OtherLongTermDebtNoncurrent;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfEquity;PaymentsOfDividends;PaymentsToAcquirePropertyPlantAndEquipment;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;ProceedsFromIssuanceOfLongTermDebt;ProceedsFromRepaymentsOfShortTermDebt;ProceedsFromStockOptionsExercised;ProceedsFromStockPlans;ProfitLoss;PropertyPlantAndEquipmentGross;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;RepaymentsOfLongTermDebt;ResearchAndDevelopmentExpense;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;Revenues;SegmentReportingInformationRevenue;ShareBasedCompensation;ShortTermBorrowings;ShortTermInvestments;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockholdersEquityOther;StockIssuedDuringPeriodValueEmployeeStockPurchasePlan;StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures;StockIssuedDuringPeriodValueShareBasedCompensation;StockIssuedDuringPeriodValueStockOptionsExercised;TreasuryStockValue;TreasuryStockValueAcquiredCostMethod;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations;StockPrice
2016-03-31;6725000000.0;1269000000.0;24016000000.0;-4466000000.0;333000000.0;89000000.0;69141000000.0;27700000000.0;2080000000.0;3172000000.0;12700000000.0;593000000.0;22000000.0;615000000.0;5460000000.0;40000000.0;217000000.0;258000000.0;1000000.0;;17500000000.0;-116000000.0;-35000000.0;-159000000.0;3477384955.695307;-7000000.0;-15116791760.05058;208000000.0;321022787.29771894;613000000.0;264000000.0;923000000.0;682000000.0;967000000.0;17000000.0;;626000000.0;632000000.0;1998000000.0;372000000.0;287000000.0;307000000.0;330000000.0;351000000.0;364000000.0;6549000000.0;4551000000.0;42504069.022597566;110000000.0;15649000000.0;401000000.0;989000000.0;622000000.0;3149002659.7737617;1003000000.0;-192153547.42009076;25000000.0;99000000.0;-983000000.0;-104000000.0;-125000000.0;-85000000.0;-5000000.0;-125000000.0;2000000.0;-414000000.0;8371809122.550201;133000000.0;1102000000.0;3612000000.0;2355000000.0;155000000.0;3341000000.0;33479000000.0;69141000000.0;12880000000.0;2242145079.406109;;3267000000.0;17233000000.0;10432736434.254251;303000000.0;-723021557.5720439;-144181089.914719;1929384745.7312555;501000000.0;22000000.0;501000000.0;501000000.0;901000000.0;1066000000.0;3132000000.0;18305305.026641726;-72198557.14252388;25000000.0;3000000.0;9000000.0;17000000.0;-63000000.0;-1410290.8253781945;-7000000.0;-94000000.0;-45000000.0;-85000000.0;1051000000.0;14284616633.297035;26000000.0;475000000.0;629000000.0;549000000.0;1392000000.0;3542000000.0;-561000000.0;47000000.0;116000000.0;523000000.0;37275000000.0;13259000000.0;8382000000.0;500000000.0;240000000.0;40745000000.0;8765998451.892658;6520000000.0;13306135771.20063;61000000.0;987000000.0;12352000000.0;35359000000.0;35662000000.0;19000000.0;116000000.0;12569304.369693696;61000000.0;47000000.0;13620000000.0;475000000.0;1771816693.7944388;58.03135299682617
2016-06-30;9494000000.0;1043000000.0;26972000000.0;-4478000000.0;381000000.0;160000000.0;81171000000.0;27195000000.0;2947000000.0;3172000000.0;12835000000.0;-2174000000.0;14000000.0;-2160000000.0;5460000000.0;40000000.0;217000000.0;258000000.0;1000000.0;;19000000000.0;-116000000.0;-35000000.0;-151090909.0909091;3431398837.047289;-7000000.0;-59674185020.26032;391000000.0;584019281.3272853;721000000.0;265000000.0;2631000000.0;744000000.0;972500000.0;67000000.0;;643750000.0;701000000.0;2415000000.0;672000000.0;335000000.0;565000000.0;587000000.0;611000000.0;651000000.0;12336000000.0;9921000000.0;32488780.10669294;103000000.0;24603000000.0;386000000.0;989000000.0;-2514000000.0;2046525002.4536085;1003000000.0;-44205548.102755874;21250000.0;-368000000.0;-904750000.0;-85750000.0;-85500000.0;-35000000.0;10250000.0;-116250000.0;-5500000.0;-325000000.0;19731403471.15123;149000000.0;2487000000.0;5001000000.0;1874000000.0;640000000.0;1276000000.0;38192000000.0;81171000000.0;14609000000.0;8231143593.272598;;2385000000.0;18252000000.0;7305064029.000294;369000000.0;-677120516.1201489;-175736850.16643035;1256735783.1516497;-2160000000.0;14000000.0;-2160000000.0;-2160000000.0;747000000.0;1237000000.0;3588000000.0;-69106279.2894116;-6434816.050453203;26000000.0;1250000.0;9500000.0;-70000000.0;-62750000.0;-3471397.1046741903;-7000000.0;14000000.0;-34000000.0;17000000.0;1359000000.0;17460532767.890472;25500000.0;449250000.0;645750000.0;507000000.0;1341000000.0;2740000000.0;-674500000.0;45000000.0;111000000.0;-2146000000.0;40198000000.0;13226000000.0;9374000000.0;375250000.0;257000000.0;37889000000.0;3776079322.606236;7164000000.0;15216026741.337284;67750000.0;986000000.0;8245000000.0;42610000000.0;42979000000.0;7500000.0;111000000.0;23951582.792686224;67750000.0;45000000.0;3636000000.0;449250000.0;-1501720664.152773;62.6274299621582
2016-09-30;9439000000.0;1092000000.0;26955000000.0;-4388000000.0;371000000.0;156000000.0;80594000000.0;26425000000.0;3441000000.0;2563604522.757846;12823000000.0;268000000.0;14000000.0;282000000.0;5460000000.0;40000000.0;217000000.0;258000000.0;1000000.0;;18200000000.0;-116000000.0;-35000000.0;-143181818.1818182;3458957526.305519;-7000000.0;-89773437974.667;391000000.0;581368034.9189106;717000000.0;260000000.0;2622000000.0;627000000.0;978000000.0;49000000.0;;661500000.0;702000000.0;2567000000.0;668000000.0;166000000.0;571000000.0;596000000.0;633000000.0;660000000.0;12404000000.0;9837000000.0;35925398.85234649;92000000.0;24957000000.0;354000000.0;;200000000.0;2525945755.012091;1548428246.6745582;-36830897.21034479;17500000.0;10000000.0;-826500000.0;-67500000.0;-46000000.0;15000000.0;25500000.0;-107500000.0;-13000000.0;-236000000.0;24260405720.955677;149000000.0;2122000000.0;4572000000.0;1850000000.0;600000000.0;1283000000.0;38020000000.0;80594000000.0;14972000000.0;7388965666.044342;;1788000000.0;17538000000.0;6596825573.464338;340000000.0;-639447789.0580939;-249454477.0421822;796447912.5628614;176000000.0;14000000.0;176000000.0;176000000.0;815000000.0;1141000000.0;3692000000.0;45000000.0;-29000805.64086961;25000000.0;-500000.0;10000000.0;27000000.0;-62500000.0;-6710278.400710754;-6000000.0;-29000000.0;-40000000.0;-18000000.0;1595000000.0;16697959562.30422;25000000.0;423500000.0;662500000.0;465000000.0;1293000000.0;1938000000.0;-788000000.0;43000000.0;106000000.0;190000000.0;39959000000.0;13004000000.0;9565000000.0;250500000.0;253000000.0;37370000000.0;5303217660.764405;7019000000.0;15129164290.81282;74500000.0;1951000000.0;7315000000.0;42234000000.0;42574000000.0;-4000000.0;106000000.0;493159.73482352495;74500000.0;43000000.0;3571000000.0;423500000.0;-1609631035.6697006;62.67585372924805
2016-12-31;9423500000.0;1153500000.0;27152500000.0;-4458500000.0;363500000.0;162500000.0;78384500000.0;24154000000.0;2671500000.0;1967563804.1138992;12801500000.0;330500000.0;9500000.0;340000000.0;;47963130.456242174;186534987.8297726;69025270.38274848;14944775.889193945;;17500000000.0;-117618263.0207215;;-135272727.27272728;3012562121.072564;-7176096.677883174;-95331175408.1209;391000000.0;581438609.9521579;717000000.0;260000000.0;2265000000.0;620000000.0;983500000.0;43000000.0;;679250000.0;703000000.0;2726000000.0;643800000.0;346000000.0;573500000.0;597500000.0;630000000.0;664000000.0;12516000000.0;9790000000.0;34501656.80057573;95000000.0;25001000000.0;296000000.0;;267000000.0;1850890168.301527;1366685255.7672591;-22324876.163465083;13750000.0;30000000.0;-748250000.0;-49250000.0;-6500000.0;65000000.0;40750000.0;-98750000.0;-20500000.0;-147000000.0;25135823056.88279;144000000.0;2090000000.0;4430000000.0;1741500000.0;598500000.0;1382500000.0;36570500000.0;78384500000.0;14374000000.0;18924387563.38813;;1788000000.0;17038000000.0;5887064024.475614;394000000.0;-601607968.646796;-322315917.92761207;231178411.1107068;227500000.0;9500000.0;227500000.0;227500000.0;786000000.0;1373500000.0;3940000000.0;45000000.0;-19652038.524839956;22500000.0;-2250000.0;10500000.0;36000000.0;-62250000.0;-5575484.249713741;-3500000.0;-22000000.0;-41500000.0;-3500000.0;1518500000.0;15435430133.266548;24500000.0;397750000.0;679250000.0;423000000.0;1375000000.0;1136000000.0;-901500000.0;41000000.0;101000000.0;237000000.0;39908000000.0;12755500000.0;9100500000.0;125750000.0;232000000.0;36711000000.0;7462000000.0;6956500000.0;15722256175.76149;81250000.0;1951000000.0;6383000000.0;41420000000.0;41814000000.0;-15500000.0;101000000.0;-18323090.86596101;81250000.0;41000000.0;3634000000.0;397750000.0;-3376214156.5308714;67.98521423339844
2017-03-31;9408000000.0;1215000000.0;27350000000.0;-4529000000.0;356000000.0;169000000.0;76175000000.0;21883000000.0;1902000000.0;1371523085.469947;12780000000.0;393000000.0;5000000.0;398000000.0;;53454918.71548885;165302907.32364005;84210743.2598623;15041077.212573651;;16800000000.0;-120011848.97180969;;-127363636.36363636;2566166715.83961;-7301726.879735869;-100888912841.57428;391000000.0;575980059.9307159;717000000.0;260000000.0;1908000000.0;613000000.0;989000000.0;37000000.0;;697000000.0;704000000.0;2885000000.0;619600000.0;526000000.0;576000000.0;599000000.0;627000000.0;668000000.0;12628000000.0;9743000000.0;33077914.74880497;98000000.0;25045000000.0;238000000.0;;334000000.0;2005809715.3804607;1408393734.8768492;-10292537.650143892;10000000.0;50000000.0;-670000000.0;-31000000.0;33000000.0;115000000.0;56000000.0;-90000000.0;-28000000.0;-58000000.0;26175864678.775352;139000000.0;2058000000.0;4288000000.0;1633000000.0;597000000.0;1482000000.0;35121000000.0;76175000000.0;13776000000.0;19298210807.39805;;1788000000.0;16538000000.0;5177302475.48689;448000000.0;-563768148.2354981;-395177358.8130429;-378723645.9491816;279000000.0;5000000.0;279000000.0;279000000.0;757000000.0;1606000000.0;4188000000.0;45000000.0;-10303271.408810304;20000000.0;-4000000.0;11000000.0;45000000.0;-62000000.0;-4512755.318712041;-1000000.0;-15000000.0;-43000000.0;11000000.0;1442000000.0;14197096501.22203;24000000.0;372000000.0;696000000.0;381000000.0;1457000000.0;334000000.0;-1015000000.0;39000000.0;96000000.0;284000000.0;39857000000.0;12507000000.0;8636000000.0;1000000.0;211000000.0;36052000000.0;7462000000.0;6894000000.0;15652228138.47962;88000000.0;1951000000.0;5451000000.0;40606000000.0;41054000000.0;-27000000.0;96000000.0;-37139341.466745615;88000000.0;39000000.0;3697000000.0;372000000.0;-4876194294.919774;62.997135162353516
2017-06-30;9444000000.0;1159000000.0;27715000000.0;-4558000000.0;345000000.0;167000000.0;74862000000.0;21273000000.0;1903000000.0;896924481.0899798;12843000000.0;-103000000.0;-7000000.0;-110000000.0;;58946706.97473556;177594502.2751152;98592181.89177036;15137378.53595336;;16900000000.0;-103549817.13894312;;-19097197.608373776;1608828555.097238;-6437697.584640663;-94318243996.498;370406451.99226034;564243375.1824056;494667625.5981665;342959904.66370386;2000000000.0;592000000.0;960250000.0;23000000.0;;696000000.0;700000000.0;3041000000.0;595400000.0;350000000.0;597000000.0;621000000.0;668000000.0;681000000.0;12677000000.0;9636000000.0;33225198.409332987;110000000.0;25058000000.0;13000000.0;;17000000.0;1795517395.01973;1351777426.502259;-30655129.70999497;8750000.0;98000000.0;-652500000.0;-12000000.0;45000000.0;98250000.0;59500000.0;-65500000.0;-22750000.0;-5500000.0;25254021922.77136;142000000.0;2067000000.0;4338000000.0;1701000000.0;570000000.0;1553000000.0;34910000000.0;74862000000.0;13527000000.0;19232143405.03043;;;16600000000.0;4312185394.316085;432000000.0;-447635587.21256006;-512317905.1474527;-1023732740.0700032;-74000000.0;-7000000.0;-74000000.0;-74000000.0;950000000.0;1792000000.0;3929000000.0;-71000000.0;-11270385.248399574;20000000.0;1750000.0;8750000.0;-71000000.0;-60250000.0;-2213248.559979759;-1000000.0;-8000000.0;-36000000.0;9500000.0;1398000000.0;13888418189.108208;9250000.0;303250000.0;695000000.0;399250000.0;1385000000.0;253500000.0;-787500000.0;34250000.0;98750000.0;-81000000.0;40073000000.0;12358000000.0;8925000000.0;13500000.0;196000000.0;35284000000.0;7462000000.0;7462000000.0;15667414603.548378;88500000.0;1768534702.2925742;4315000000.0;39520000000.0;39952000000.0;-22000000.0;98750000.0;-28074099.879361093;88500000.0;34250000.0;4049000000.0;303250000.0;-4979696581.5502615;53.48951721191406
2017-09-30;9715000000.0;1310000000.0;28083000000.0;-4460000000.0;321000000.0;165000000.0;73569000000.0;19914000000.0;1690000000.0;710337600.3452556;12863000000.0;643000000.0;11000000.0;654000000.0;;64438495.23398224;198283000.23717248;68556423.85916138;15233679.859333068;;16200000000.0;-94128069.62091658;;-104460850.07637326;2800000000.0;-5943185.974578496;-100999876960.45396;360508391.5925613;546321210.0702462;523549279.3966898;333896002.8494806;1893000000.0;591000000.0;931500000.0;24000000.0;;695000000.0;700000000.0;3221000000.0;571200000.0;170000000.0;603000000.0;628000000.0;675000000.0;687000000.0;12761000000.0;9540000000.0;33372482.069860987;115000000.0;25113000000.0;13000000.0;;677000000.0;2296506758.194725;1486657141.6970398;-37126398.91050738;7500000.0;121000000.0;-635000000.0;7000000.0;57000000.0;81500000.0;63000000.0;-41000000.0;-17500000.0;47000000.0;26245068520.567223;142000000.0;1873000000.0;4308000000.0;1898000000.0;537000000.0;1481000000.0;33559000000.0;73569000000.0;13014000000.0;18765472162.02587;;;15871000000.0;3510276691.435049;437000000.0;-327607778.61024654;-609499210.6059875;-1411079628.4053595;545000000.0;11000000.0;545000000.0;545000000.0;1059000000.0;1218000000.0;4191000000.0;75000000.0;-12237499.08798885;20000000.0;7500000.0;6500000.0;75000000.0;-58500000.0;-1447183.4730924591;-2000000.0;4000000.0;-40000000.0;8000000.0;1441000000.0;13063713409.035212;-5500000.0;234500000.0;694000000.0;417500000.0;1340000000.0;173000000.0;-560000000.0;29500000.0;101500000.0;556000000.0;40421000000.0;12338000000.0;9436000000.0;26000000.0;189000000.0;35136000000.0;7905000000.0;7905000000.0;15544718381.914228;89000000.0;1765353277.1939142;3262000000.0;39573000000.0;40010000000.0;-17000000.0;101500000.0;-7349994.535800099;89000000.0;29500000.0;3966000000.0;234500000.0;-5577509666.936463;56.76361846923828
2017-12-31;9656500000.0;1310500000.0;27315500000.0;-4309500000.0;278000000.0;165000000.0;72523500000.0;18984500000.0;1777500000.0;3250096957.154986;12930500000.0;641500000.0;8000000.0;649500000.0;;;-8.83995015796418e+22;-1.110337327157135e+22;;1100000000.0;14900000000.0;-97564231.35886164;;-99070817.15998544;2800000000.0;-6123537.005023127;-98997022429.05952;351371453.30003923;562742682.4692241;779892186.5181186;302373766.54001564;1736000000.0;557000000.0;902750000.0;24000000.0;;694000000.0;700000000.0;3294000000.0;388077970.38595104;344500000.0;605000000.0;622500000.0;657500000.0;679500000.0;12672500000.0;9378500000.0;33519765.730389006;113000000.0;25116500000.0;13000000.0;;660000000.0;1.036746699544802e+22;2.791198972320912e+21;-19974265.62191966;6250000.0;117000000.0;-617500000.0;26000000.0;69000000.0;64750000.0;66500000.0;-16500000.0;-12250000.0;99500000.0;26417765381.62556;142500000.0;1790500000.0;4241000000.0;1904000000.0;546500000.0;1482000000.0;33855500000.0;72523500000.0;14604500000.0;16757277340.2504;;;14698500000.0;3143972716.0449457;419500000.0;-170707187.71861532;-517744452.7003079;3.744924543765703e+23;535000000.0;8000000.0;535000000.0;535000000.0;1016500000.0;1231000000.0;4765500000.0;57000000.0;-13204612.927578123;9500000.0;13250000.0;4250000.0;57000000.0;-56750000.0;-1778532.954089448;-3000000.0;3500000.0;-48000000.0;6500000.0;1633000000.0;-1.6779743600279636e+21;-20250000.0;165750000.0;693000000.0;435750000.0;1183500000.0;92500000.0;-332500000.0;24750000.0;104250000.0;543000000.0;39262500000.0;11947000000.0;8954000000.0;38500000.0;180500000.0;33579000000.0;7867000000.0;7867000000.0;7.802642537464039e+19;89500000.0;1762171852.095254;2781000000.0;38248500000.0;38668000000.0;-12000000.0;104250000.0;10403082.290916502;89500000.0;24750000.0;3951500000.0;165750000.0;-5648344211.5004;57.3714485168457
2018-03-31;9598000000.0;1311000000.0;26548000000.0;-4159000000.0;235000000.0;165000000.0;71478000000.0;18055000000.0;1865000000.0;5132772035.715961;12998000000.0;640000000.0;5000000.0;645000000.0;;;-8.74569083799925e+22;-1.0984979344547589e+22;;1040000000.0;13600000000.0;-101000393.09680676;;-93680784.2435974;2800000000.0;-6303888.03546776;-96994167897.6651;342234515.00751746;579164154.8682022;1036235093.6395462;270851530.2305505;1579000000.0;523000000.0;874000000.0;24000000.0;;693000000.0;700000000.0;3367000000.0;798658350.9605665;519000000.0;607000000.0;617000000.0;640000000.0;672000000.0;12584000000.0;9217000000.0;33667049.390917;111000000.0;25120000000.0;;;643000000.0;1.0256919948090885e+22;2.761436755078096e+21;-2822132.3333315253;5000000.0;113000000.0;-600000000.0;45000000.0;81000000.0;48000000.0;70000000.0;8000000.0;-7000000.0;152000000.0;26590462242.68389;143000000.0;1708000000.0;4174000000.0;1910000000.0;556000000.0;1483000000.0;34152000000.0;71478000000.0;16195000000.0;14749082518.47493;;;13526000000.0;2777668740.654844;402000000.0;-787000000.0;282000000.0;568000000.0;525000000.0;5000000.0;525000000.0;525000000.0;974000000.0;1244000000.0;5340000000.0;39000000.0;-14171726.7671674;-1000000.0;19000000.0;2000000.0;39000000.0;-55000000.0;-2109882.435086444;-4000000.0;3000000.0;-56000000.0;5000000.0;1825000000.0;9.932916099307138e+19;-35000000.0;97000000.0;692000000.0;454000000.0;1027000000.0;12000000.0;-105000000.0;20000000.0;107000000.0;530000000.0;38104000000.0;11556000000.0;8472000000.0;51000000.0;172000000.0;32022000000.0;7829000000.0;7829000000.0;3.5765721587192558e+19;90000000.0;1758990426.9965937;2300000000.0;36924000000.0;37326000000.0;-7000000.0;107000000.0;-8978666.483301997;90000000.0;20000000.0;3937000000.0;97000000.0;-5719178756.06434;52.75664138793945
2018-06-30;9367000000.0;1264000000.0;26687000000.0;-4305000000.0;249000000.0;174000000.0;70156000000.0;16900000000.0;1461000000.0;4839798540.593706;13030000000.0;284000000.0;11000000.0;295000000.0;;;-8.956301021855593e+22;-1.124951516707656e+22;;980000000.0;13800000000.0;-90813907.66282612;;-82564190.22706014;2500000000.0;-5769238.2474964;-96410010051.95016;334917394.4447161;566782609.9102383;1006839440.8078249;259572007.97285053;1541000000.0;525000000.0;883666666.6666666;;;692000000.0;699000000.0;3431000000.0;719174989.129776;346000000.0;610000000.0;617000000.0;648000000.0;682000000.0;12523000000.0;9092000000.0;35630831.531290464;114000000.0;25121000000.0;;;547000000.0;1.0503922939173047e+22;2.8279365563478966e+21;-5716869.30899623;2333333.333333333;106000000.0;-561000000.0;31666666.666666664;119666666.66666666;63000000.0;46000000.0;-8666666.666666666;-18666666.666666664;194666666.66666663;26533338265.182133;144000000.0;1742000000.0;4120000000.0;1853000000.0;525000000.0;1487000000.0;33259000000.0;70156000000.0;15066000000.0;34105302344.40342;;;13865000000.0;2235447471.470325;413000000.0;-623666666.6666666;111333333.33333334;487333333.3333333;430000000.0;11000000.0;430000000.0;430000000.0;1094000000.0;1125000000.0;5366000000.0;-121000000.0;-27066577.961691067;-1000000.0;-40000000.0;-16000000.0;-121000000.0;-31000000.0;-1990021.4526299464;-5000000.0;1000000.0;-37000000.0;-15000000.0;1816000000.0;1.01721165609337e+20;-9666666.666666668;97333333.33333331;692000000.0;440333333.3333333;971000000.0;612000000.0;-82666666.66666667;20666666.666666668;99666666.66666669;441000000.0;38191000000.0;11504000000.0;8606000000.0;490000000.0;175000000.0;31760000000.0;8303000000.0;7829000000.0;3.662701720550866e+19;96000000.0;1758832282.0047712;1588000000.0;36484000000.0;36897000000.0;-23000000.0;113500000.0;23959858.58908534;87000000.0;6000000.0;4001000000.0;102000000.0;-6567989845.944861;54.58958053588867
2018-09-30;9419000000.0;1265000000.0;26956000000.0;-4313000000.0;245000000.0;167000000.0;70046000000.0;16483000000.0;1493000000.0;5081144756.300297;13058000000.0;635000000.0;14000000.0;649000000.0;;;-8.911980706336e+22;-1.1193846866018866e+22;;920000000.0;14100000000.0;-85911654.71460281;;-104899459.61390544;2500000000.0;-5511937.678390757;-98798364347.0104;322914803.2527035;565031416.3402572;1041724801.8525846;256752127.4084256;1529000000.0;516000000.0;893333333.3333334;;;692000000.0;701000000.0;3591000000.0;608626955.2090244;169000000.0;609000000.0;617000000.0;648000000.0;680000000.0;12521000000.0;8930000000.0;33765238.49793568;105000000.0;25134000000.0;;;787000000.0;1.045194420624313e+22;2.8139424933814857e+21;2607955.55163768;-333333.333333333;129000000.0;-522000000.0;18333333.33333333;158333333.3333333;78000000.0;22000000.0;-25333333.33333333;-30333333.33333333;237333333.3333333;26931549490.42255;147000000.0;1682000000.0;4108000000.0;1885000000.0;541000000.0;1497000000.0;33098000000.0;70046000000.0;14600000000.0;24919299715.14922;;;14159000000.0;2062576364.5814412;415000000.0;-460333333.3333333;-59333333.33333331;406666666.6666666;644000000.0;14000000.0;644000000.0;644000000.0;1152000000.0;1112000000.0;5624000000.0;-47000000.0;-14816469.326893585;-1000000.0;-12000000.0;6000000.0;-50000000.0;-44000000.0;-5007435.824731618;-2000000.0;-2000000.0;-47000000.0;4000000.0;1853000000.0;1.0121779774095756e+20;15666666.666666664;97666666.66666669;692000000.0;426666666.6666667;957000000.0;1212000000.0;-60333333.333333336;21333333.33333333;92333333.33333331;658000000.0;38695000000.0;11739000000.0;8409000000.0;929000000.0;177000000.0;31712000000.0;8504000000.0;7829000000.0;3.6445768165866377e+19;102000000.0;1759148571.9884152;1361000000.0;36533000000.0;36948000000.0;-12000000.0;120000000.0;54279322.16656447;83000000.0;6000000.0;3924000000.0;100000000.0;-6929955846.549106;51.97056579589844
